Open,High,Low,Close,Volume,Dividends,Stock Splits
42.25,43.0,42.25,42.75,990319,0.0,0.0
43.0,43.0,42.75,43.0,149797,0.0,0.0
42.75,43.0,42.75,42.75,116223,0.0,0.0
43.0,43.0,42.5,42.5,869272,0.0,0.0
42.75,43.0,42.5,43.0,573200,0.0,0.0
42.75,43.0,42.75,42.75,493407,0.0,0.0
42.75,43.0,42.75,43.0,28520,0.0,0.0
43.0,43.25,42.75,43.25,1392814,0.0,0.0
43.25,43.25,43.0,43.0,136321,0.0,0.0
43.25,43.25,42.75,43.0,555426,0.0,0.0
43.0,43.25,43.0,43.25,80402,0.0,0.0
43.25,43.25,43.0,43.25,127507,0.0,0.0
43.25,43.25,43.0,43.25,199427,0.0,0.0
43.25,43.25,43.0,43.25,277903,0.0,0.0
43.0,43.75,43.0,43.5,2335745,0.0,0.0
43.5,43.75,43.5,43.5,833647,0.0,0.0
43.5,43.75,43.25,43.75,431541,0.0,0.0
43.75,43.75,43.5,43.75,58013,0.0,0.0
43.75,43.75,43.5,43.75,619327,0.0,0.0
44.5,44.5,44.0,44.0,959915,0.0,0.0
44.0,44.25,44.0,44.25,419772,0.0,0.0
44.25,44.5,44.0,44.5,265310,0.0,0.0
44.5,44.75,44.25,44.75,1322334,0.0,0.0
44.75,45.25,44.5,45.0,2012330,0.0,0.0
45.0,45.0,44.25,44.25,2036461,0.0,0.0
44.25,44.5,44.25,44.5,608710,0.0,0.0
44.5,44.5,44.25,44.5,261500,0.0,0.0
44.5,44.5,44.25,44.5,186100,0.0,0.0
44.5,44.5,44.0,44.25,653199,0.0,0.0
44.0,44.25,44.0,44.25,135500,0.0,0.0
44.25,44.25,44.0,44.25,844900,0.0,0.0
44.25,44.25,44.0,44.25,55604,0.0,0.0
44.25,44.25,44.0,44.25,75500,0.0,0.0
44.25,44.5,44.25,44.25,1121954,0.0,0.0
44.5,44.5,44.0,44.0,625027,0.0,0.0
44.0,44.25,43.75,43.75,362906,0.0,0.0
44.0,44.25,43.75,44.25,518712,0.0,0.0
44.25,44.25,44.0,44.25,242688,0.0,0.0
44.0,44.0,43.25,43.5,736619,0.0,0.0
43.75,44.25,43.5,44.25,457230,0.0,0.0
44.25,44.25,44.0,44.25,82814,0.0,0.0
44.25,44.25,44.0,44.0,1006800,0.0,0.0
44.0,44.25,43.75,44.0,614200,0.0,0.0
44.25,44.25,44.0,44.25,70458,0.0,0.0
44.25,44.25,44.0,44.25,113211,0.0,0.0
44.25,44.25,44.0,44.25,81800,0.0,0.0
44.25,44.25,44.0,44.25,49200,0.0,0.0
44.0,44.25,44.0,44.0,82005,0.0,0.0
44.0,44.25,43.75,44.0,273880,0.0,0.0
