Open,High,Low,Close,Volume,Dividends,Stock Splits
97.0,97.25,97.0,97.0,65061,0.0,0.0
97.0,97.0,96.75,96.75,5746,0.0,0.0
97.0,97.0,96.75,97.0,18983,0.0,0.0
97.0,97.0,96.75,97.0,38150,0.0,0.0
97.0,97.0,96.75,96.75,4136,0.0,0.0
96.75,97.0,96.75,96.75,13009,0.0,0.0
96.75,97.0,96.75,97.0,246231,0.0,0.0
97.0,97.0,96.75,97.0,45739,0.0,0.0
97.0,97.0,96.75,96.75,1864,0.0,0.0
97.0,97.0,96.75,97.0,23815,0.0,0.0
97.0,97.0,97.0,97.0,19624,0.0,0.0
97.0,97.25,96.75,97.0,359902,0.0,0.0
97.0,97.0,96.75,97.0,30660,0.0,0.0
97.0,97.0,96.75,97.0,71705,0.0,0.0
97.0,97.0,96.75,97.0,128100,0.0,0.0
97.0,97.25,96.75,96.75,240130,0.0,0.0
96.75,97.0,96.75,96.75,55634,0.0,0.0
96.75,97.0,96.75,96.75,19453,0.0,0.0
96.75,97.0,96.75,97.0,22309,0.0,0.0
97.25,97.25,97.0,97.0,11323,0.0,0.0
97.25,97.5,97.25,97.25,163801,0.0,0.0
97.0,97.25,97.0,97.0,41687,0.0,0.0
97.0,97.5,97.0,97.5,109277,0.0,0.0
97.25,97.5,97.25,97.25,219586,0.0,0.0
97.25,97.5,97.25,97.25,75012,0.0,0.0
97.25,97.5,97.25,97.25,1851,0.0,0.0
97.25,97.5,97.25,97.5,22816,0.0,0.0
97.5,97.5,97.25,97.25,12432,0.0,0.0
97.5,97.5,97.25,97.5,76985,0.0,0.0
97.25,97.5,97.25,97.5,33419,0.0,0.0
97.5,97.75,97.25,97.75,305843,0.0,0.0
97.75,97.75,97.5,97.75,32261,0.0,0.0
97.75,97.75,97.5,97.75,5478,0.0,0.0
97.75,97.75,97.5,97.75,51494,0.0,0.0
97.75,97.75,97.5,97.75,67189,0.0,0.0
97.75,97.75,97.5,97.75,303229,0.0,0.0
97.75,97.75,97.5,97.75,31370,0.0,0.0
97.75,98.0,97.5,98.0,325043,0.0,0.0
97.5,97.5,97.0,97.25,107526,0.0,0.0
97.25,97.5,97.25,97.5,12823,0.0,0.0
97.5,97.5,97.0,97.25,188991,0.0,0.0
97.0,97.25,97.0,97.25,223111,0.0,0.0
97.25,97.5,97.0,97.25,98923,0.0,0.0
97.25,97.25,97.25,97.25,190261,0.0,0.0
97.25,97.25,97.0,97.25,10732,0.0,0.0
97.25,97.25,97.0,97.25,12604,0.0,0.0
97.25,97.25,97.0,97.25,16932,0.0,0.0
97.25,97.25,97.0,97.25,93202,0.0,0.0
97.25,97.25,97.25,97.25,48093,0.0,0.0
97.25,97.25,97.0,97.0,27614,0.0,0.0
97.0,97.25,97.0,97.25,15801,0.0,0.0
97.25,97.25,97.25,97.25,131824,0.0,0.0
97.25,97.25,97.0,97.0,7118,0.0,0.0
97.0,97.25,97.0,97.0,25009,0.0,0.0
97.25,97.25,97.0,97.25,23501,0.0,0.0
97.0,97.25,97.0,97.0,496386,0.0,0.0
97.0,97.25,97.0,97.0,80221,0.0,0.0
97.25,97.25,97.0,97.25,100318,0.0,0.0
97.5,97.5,97.25,97.5,5189,0.0,0.0
97.5,97.5,97.25,97.5,10243,0.0,0.0
97.5,97.5,97.0,97.25,283502,0.0,0.0
97.5,97.5,97.25,97.25,12385,0.0,0.0
97.5,97.5,97.25,97.5,16758,0.0,0.0
97.5,97.75,97.5,97.75,184227,0.0,0.0
97.75,97.75,97.5,97.75,119007,0.0,0.0
97.5,97.5,97.25,97.5,166610,0.0,0.0
97.25,97.5,97.25,97.5,6802,0.0,0.0
97.5,97.75,97.25,97.5,45403,0.0,0.0
97.5,97.75,97.25,97.75,87115,0.0,0.0
97.5,97.75,97.5,97.5,22831,0.0,0.0
97.5,97.75,97.5,97.75,16183,0.0,0.0
97.5,97.75,97.5,97.5,142644,0.0,0.0
97.5,97.75,97.5,97.5,9773,0.0,0.0
97.75,97.75,97.5,97.75,79505,0.0,0.0
97.75,97.75,97.5,97.75,57356,0.0,0.0
97.75,97.75,97.25,97.5,70050,0.0,0.0
97.5,97.5,97.5,97.5,54410,0.0,0.0
97.5,97.5,97.25,97.25,30975,0.0,0.0
97.5,97.5,97.25,97.5,7005,0.0,0.0
97.5,97.75,97.25,97.5,155492,0.0,0.0
97.5,97.5,97.25,97.5,26251,0.0,0.0
97.5,97.75,97.25,97.75,45532,0.0,0.0
97.5,97.75,97.5,97.5,32522,0.0,0.0
97.5,97.75,97.5,97.5,14840,0.0,0.0
97.5,97.75,97.25,97.75,107747,0.0,0.0
97.5,97.75,97.5,97.75,69901,0.0,0.0
97.75,97.75,97.5,97.75,19205,0.0,0.0
97.75,97.75,97.25,97.5,190408,0.0,0.0
97.75,97.75,97.5,97.5,95680,0.0,0.0
97.5,97.75,97.25,97.75,213511,0.0,0.0
97.75,97.75,97.5,97.5,95302,0.0,0.0
97.75,97.75,97.25,97.25,41747,0.0,0.0
97.5,97.75,97.5,97.75,149055,0.0,0.0
97.75,97.75,97.5,97.5,56056,0.0,0.0
97.5,97.75,97.25,97.75,99458,0.0,0.0
98.0,98.0,97.75,97.75,22129,0.0,0.0
98.0,98.0,97.75,97.75,29865,0.0,0.0
98.0,98.0,97.75,98.0,6805,0.0,0.0
98.0,98.0,97.75,97.75,35677,0.0,0.0
97.75,98.0,97.75,97.75,28380,0.0,0.0
97.75,98.0,97.75,97.75,39101,0.0,0.0
97.75,98.0,97.75,97.75,21260,0.0,0.0
97.75,98.0,97.75,98.0,83043,0.0,0.0
98.0,98.25,97.75,98.25,282571,0.0,0.0
98.0,98.25,98.0,98.25,28561,0.0,0.0
98.0,98.25,98.0,98.25,131012,0.0,0.0
98.0,98.5,98.0,98.25,607752,0.0,0.0
98.25,98.25,98.0,98.25,25956,0.0,0.0
98.25,98.5,98.0,98.25,145688,0.0,0.0
98.25,98.5,98.0,98.0,85045,0.0,0.0
98.0,98.25,98.0,98.25,5805,0.0,0.0
98.0,98.25,98.0,98.0,11255,0.0,0.0
98.0,98.5,98.0,98.5,193047,0.0,0.0
98.25,98.5,98.0,98.5,567448,0.0,0.0
98.5,98.5,98.0,98.25,185195,0.0,0.0
98.25,98.5,98.25,98.25,98998,0.0,0.0
98.25,98.5,98.0,98.0,83006,0.0,0.0
98.0,98.25,98.0,98.25,213857,0.0,0.0
98.25,98.25,98.0,98.0,21772,0.0,0.0
98.25,98.25,98.0,98.25,14710,0.0,0.0
98.0,98.25,98.0,98.0,140503,0.0,0.0
98.0,98.25,98.0,98.25,21301,0.0,0.0
98.0,98.25,98.0,98.0,43534,0.0,0.0
98.0,98.25,97.75,98.0,189227,0.0,0.0
98.0,98.25,98.0,98.25,53315,0.0,0.0
98.25,98.25,98.0,98.0,18433,0.0,0.0
98.0,98.25,98.0,98.0,16947,0.0,0.0
98.0,98.25,98.0,98.0,44919,0.0,0.0
98.0,98.25,98.0,98.0,27528,0.0,0.0
98.0,98.25,98.0,98.0,19221,0.0,0.0
98.0,98.25,98.0,98.0,170362,0.0,0.0
98.0,98.5,98.0,98.25,149273,0.0,0.0
98.25,98.5,98.0,98.0,61836,0.0,0.0
98.0,98.5,98.0,98.5,108922,0.0,0.0
98.5,98.5,98.0,98.25,30601,0.0,0.0
98.0,98.5,98.0,98.25,195833,0.0,0.0
98.25,98.5,98.0,98.25,44407,0.0,0.0
98.25,98.25,98.0,98.25,91216,0.0,0.0
98.0,98.5,98.0,98.25,37018,0.0,0.0
98.25,98.25,98.0,98.25,6300,0.0,0.0
98.0,98.25,98.0,98.25,15533,0.0,0.0
98.0,98.25,98.0,98.25,77087,0.0,0.0
98.25,98.5,98.25,98.25,77602,0.0,0.0
98.0,98.25,98.0,98.25,71821,0.0,0.0
98.25,98.25,98.25,98.25,110831,0.0,0.0
98.25,98.5,98.25,98.25,43660,0.0,0.0
98.5,98.5,98.25,98.25,190718,0.0,0.0
98.25,98.5,98.25,98.25,41854,0.0,0.0
98.25,98.5,98.25,98.25,20904,0.0,0.0
98.25,98.5,98.25,98.25,5607,0.0,0.0
98.25,98.5,98.25,98.25,74133,0.0,0.0
98.25,98.5,98.25,98.25,42565,0.0,0.0
98.5,98.75,98.25,98.5,46312,0.0,0.0
98.75,98.75,98.5,98.75,38277,0.0,0.0
98.5,99.0,98.5,98.75,507994,0.0,0.0
98.75,99.0,98.5,99.0,95642,0.0,0.0
98.75,99.0,98.5,98.75,44617,0.0,0.0
98.75,98.75,98.5,98.75,29649,0.0,0.0
98.75,98.75,98.5,98.5,39608,0.0,0.0
98.75,98.75,98.5,98.75,15829,0.0,0.0
98.75,98.75,98.75,98.75,43607,0.0,0.0
98.75,99.0,98.5,99.0,45701,0.0,0.0
98.75,98.75,98.75,98.75,69031,0.0,0.0
98.75,99.0,98.5,99.0,136475,0.0,0.0
98.75,98.75,98.5,98.75,243655,0.0,0.0
98.75,99.0,98.75,98.75,60941,0.0,0.0
98.75,99.0,98.75,98.75,36562,0.0,0.0
98.75,99.0,98.75,98.75,27811,0.0,0.0
98.75,99.0,98.75,98.75,39574,0.0,0.0
98.75,99.0,98.75,99.0,44200,0.0,0.0
99.0,99.0,98.75,99.0,33020,0.0,0.0
98.75,98.75,98.25,98.5,12841,0.0,0.0
98.5,98.75,98.25,98.5,539122,0.0,0.0
98.5,98.5,98.25,98.25,206468,0.0,0.0
98.25,98.5,98.25,98.5,37437,0.0,0.0
98.5,98.5,98.25,98.5,12914,0.0,0.0
98.5,98.75,98.5,98.5,259085,0.0,0.0
98.5,98.75,98.5,98.5,4194,0.0,0.0
98.5,98.75,98.5,98.5,33353,0.0,0.0
98.5,98.75,98.25,98.5,110600,0.0,0.0
98.5,98.75,98.5,98.75,18262,0.0,0.0
98.5,99.0,98.5,98.75,191322,0.0,0.0
98.75,99.0,98.75,99.0,24049,0.0,0.0
98.75,99.0,98.75,98.75,284526,0.0,0.0
98.75,99.0,98.75,98.75,199329,0.0,0.0
99.0,99.0,98.75,99.0,236837,0.0,0.0
99.0,99.0,98.5,98.75,223122,0.0,0.0
