Open,High,Low,Close,Volume,Dividends,Stock Splits
47.75,48.25,47.75,48.25,591808,0.0,0.0
48.0,48.25,48.0,48.25,617901,0.0,0.0
48.25,48.25,48.0,48.25,285530,0.0,0.0
48.25,48.25,48.0,48.0,183161,0.0,0.0
48.25,48.25,48.0,48.25,159760,0.0,0.0
48.25,48.25,48.0,48.25,137528,0.0,0.0
48.0,48.5,48.0,48.5,1141149,0.0,0.0
48.5,48.5,48.25,48.5,282643,0.0,0.0
48.5,48.5,48.25,48.5,162769,0.0,0.0
48.5,48.5,48.25,48.25,826702,0.0,0.0
48.25,48.25,48.25,48.25,59400,0.0,0.0
48.25,48.5,48.25,48.5,599204,0.0,0.0
48.5,48.5,48.25,48.5,51247,0.0,0.0
48.5,48.5,48.25,48.5,69121,0.0,0.0
48.25,48.75,48.25,48.75,1550605,0.0,0.0
48.5,48.75,48.5,48.75,180138,0.0,0.0
48.75,48.75,48.5,48.75,285600,0.0,0.0
48.75,48.75,48.5,48.75,1043261,0.0,0.0
48.75,49.0,48.5,49.0,500248,0.0,0.0
49.5,49.5,49.0,49.25,522424,0.0,0.0
49.25,49.25,49.0,49.25,1074864,0.0,0.0
49.25,49.5,49.0,49.5,962912,0.0,0.0
49.5,49.75,49.25,49.75,1630268,0.0,0.0
49.75,49.75,49.5,49.75,242112,0.0,0.0
49.75,49.75,49.5,49.75,402526,0.0,0.0
49.75,50.0,49.5,50.0,2436731,0.0,0.0
50.0,50.0,49.75,50.0,387715,0.0,0.0
50.0,50.0,49.75,50.0,499335,0.0,0.0
50.0,50.0,49.75,50.0,1016918,0.0,0.0
49.75,50.0,49.75,50.0,80600,0.0,0.0
50.0,50.0,49.75,49.75,324558,0.0,0.0
50.0,50.0,49.75,49.75,225660,0.0,0.0
50.0,50.0,49.75,49.75,291308,0.0,0.0
50.0,50.0,49.75,50.0,432501,0.0,0.0
50.0,50.0,49.75,50.0,243824,0.0,0.0
50.0,50.0,49.75,49.75,350126,0.0,0.0
49.75,50.0,49.75,49.75,353755,0.0,0.0
50.0,50.0,49.75,49.75,1200035,0.0,0.0
49.25,49.75,49.25,49.5,535708,0.0,0.0
49.5,50.0,49.5,49.75,835400,0.0,0.0
50.0,50.0,49.75,50.0,200819,0.0,0.0
50.0,50.25,49.75,50.0,2077085,0.0,0.0
50.0,50.5,50.0,50.5,2731098,0.0,0.0
50.25,50.5,50.25,50.25,286149,0.0,0.0
50.25,50.5,50.25,50.5,193758,0.0,0.0
50.5,50.5,50.0,50.25,801778,0.0,0.0
50.0,50.5,50.0,50.25,771236,0.0,0.0
50.25,50.5,50.25,50.5,311222,0.0,0.0
50.5,50.5,50.5,50.5,1258451,0.0,0.0
50.5,50.75,50.5,50.5,341567,0.0,0.0
50.5,50.75,50.25,50.25,837870,0.0,0.0
50.25,50.5,50.25,50.25,162234,0.0,0.0
50.25,50.5,50.25,50.25,241602,0.0,0.0
50.25,50.5,50.0,50.25,1361069,0.0,0.0
50.0,50.5,50.0,50.5,620400,0.0,0.0
50.25,50.5,50.25,50.5,350303,0.0,0.0
50.25,50.5,50.25,50.5,634997,0.0,0.0
49.5,49.75,49.5,49.75,483701,0.0,0.0
49.75,50.0,49.75,50.0,1217959,0.0,0.0
50.0,50.25,49.75,50.0,1480512,0.0,0.0
50.0,50.0,49.75,49.75,69400,0.0,0.0
50.0,50.0,49.75,49.75,202600,0.0,0.0
49.75,50.0,49.75,49.75,133933,0.0,0.0
49.75,50.25,49.75,50.25,511052,0.0,0.0
50.25,50.25,50.0,50.25,102007,0.0,0.0
50.25,50.25,49.75,49.75,1161962,0.0,0.0
49.75,50.0,49.5,50.0,714100,0.0,0.0
49.75,50.0,49.75,49.75,42803,0.0,0.0
49.75,50.0,49.75,49.75,109956,0.0,0.0
50.0,50.0,49.75,49.75,1071614,0.0,0.0
49.75,50.0,49.75,49.75,48501,0.0,0.0
49.75,49.75,49.5,49.75,706105,0.0,0.0
49.5,49.75,49.5,49.75,155602,0.0,0.0
49.75,50.0,49.5,50.0,842903,0.0,0.0
50.0,50.25,50.0,50.25,1266454,0.0,0.0
50.25,50.25,49.75,49.75,522932,0.0,0.0
50.5,50.75,50.25,50.25,836624,0.0,0.0
50.25,50.5,50.25,50.25,36004,0.0,0.0
50.5,50.5,50.25,50.25,407436,0.0,0.0
50.25,51.25,50.25,51.0,2675691,0.0,0.0
51.25,51.25,50.75,51.0,3750901,0.0,0.0
51.0,51.25,50.75,51.0,1227311,0.0,0.0
50.75,51.25,50.75,51.0,984323,0.0,0.0
51.0,51.0,50.75,51.0,210810,0.0,0.0
51.0,51.0,50.75,51.0,373406,0.0,0.0
50.75,51.25,50.75,51.25,617801,0.0,0.0
51.0,51.25,51.0,51.25,72500,0.0,0.0
51.25,51.25,50.75,50.75,2325703,0.0,0.0
50.75,51.25,50.75,51.0,1014407,0.0,0.0
50.75,51.25,50.75,51.25,617908,0.0,0.0
51.0,51.25,51.0,51.25,1186336,0.0,0.0
51.25,51.5,51.25,51.25,604952,0.0,0.0
51.25,51.5,51.25,51.25,164900,0.0,0.0
51.25,51.5,51.0,51.0,603343,0.0,0.0
51.0,51.25,51.0,51.25,626348,0.0,0.0
51.75,51.75,51.25,51.5,596930,0.0,0.0
51.5,51.75,51.5,51.5,467006,0.0,0.0
51.5,51.5,51.25,51.25,920412,0.0,0.0
51.5,51.5,51.25,51.25,50101,0.0,0.0
51.25,51.75,51.25,51.75,682111,0.0,0.0
51.75,51.75,51.25,51.25,432644,0.0,0.0
51.25,51.5,51.25,51.5,78003,0.0,0.0
51.5,51.5,51.25,51.25,681580,0.0,0.0
51.25,51.5,51.25,51.5,84600,0.0,0.0
51.5,51.5,51.25,51.5,109310,0.0,0.0
51.5,51.75,51.5,51.5,679300,0.0,0.0
51.5,51.75,51.25,51.5,1293607,0.0,0.0
51.5,51.75,51.5,51.5,273557,0.0,0.0
51.5,51.75,51.5,51.5,191790,0.0,0.0
51.5,51.75,51.25,51.5,338550,0.0,0.0
51.5,51.5,51.25,51.25,12389,0.0,0.0
51.5,51.5,51.25,51.5,193737,0.0,0.0
51.25,51.5,51.25,51.5,1234913,0.0,0.0
51.5,51.5,51.25,51.5,277683,0.0,0.0
51.5,51.5,51.0,51.0,375100,0.0,0.0
51.0,51.5,51.0,51.25,810002,0.0,0.0
51.5,51.75,51.25,51.75,666441,0.0,0.0
51.75,51.75,51.5,51.75,287100,0.0,0.0
51.5,51.75,51.5,51.75,284102,0.0,0.0
51.75,51.75,51.5,51.5,550800,0.0,0.0
51.5,51.75,51.25,51.5,507305,0.0,0.0
51.75,51.75,51.5,51.5,167302,0.0,0.0
51.75,51.75,51.5,51.75,199500,0.0,0.0
